"id","region/state","code"
"22","","22"
"40","","20"
"49","","16"
"50","","21"
"51","","15"
"28","Badakhshan","01"
"27","Badghis","02"
"45","Baghlan","03"
"35","Balkh","30"
"19","Bamian","05"
"33","Daykondi","41"
"16","Farah","06"
"29","Faryab","07"
"23","Ghazni","08"
"20","Ghowr","09"
"17","Helmand","10"
"32","Herat","11"
"46","Jowzjan","31"
"36","Kabol","13"
"38","Kandahar","23"
"41","Kapisa","14"
"39","Khowst","37"
"47","Konar","34"
"18","Kondoz","24"
"21","Laghman","35"
"31","Lowgar","17"
"42","Nangarhar","18"
"37","Nimruz","19"
"48","Nurestan","38"
"25","Oruzgan","39"
"44","Paktia","36"
"15","Paktika","29"
"52","Panjshir","42"
"43","Samangan","32"
"34","Sar-e Pol","33"
"30","Takhar","26"
"24","Vardak","27"
"26","Zabol","28"